#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>Ctrl+V, 2j, uppercase I, text, Esc</b> do in <b>Normal mode (blockwise Visual sequence)</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Insert text at the block start across three lines; use uppercase I.<br><br><small>Exact notation: <code>&lt;C-v&gt;2jItext&lt;Esc&gt;</code></small>	nvim native native::recipes native::visual mode::normal context::blockwise
What does <b>Ctrl+V, 2j, uppercase A, text, Esc</b> do in <b>Normal mode (blockwise Visual sequence)</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Append text at the block edge across three lines; use uppercase A.<br><br><small>Exact notation: <code>&lt;C-v&gt;2jAtext&lt;Esc&gt;</code></small>	nvim native native::recipes native::visual mode::normal context::blockwise
What does <b>Ctrl+V, 2j, r{char}</b> do in <b>Normal mode (blockwise Visual sequence)</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Replace the selected column with one character across three lines.<br><br><small>Exact notation: <code>&lt;C-v&gt;2jr{char}</code></small>	nvim native native::recipes native::visual mode::normal context::blockwise
What does <b>Ctrl+V, 2j, d</b> do in <b>Normal mode (blockwise Visual sequence)</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete the selected block column across three lines.<br><br><small>Exact notation: <code>&lt;C-v&gt;2jd</code></small>	nvim native native::recipes native::visual mode::normal context::blockwise
What does <b>V2j&gt;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Select three lines and indent them once.<br><br><small>Exact notation: <code>V2j&gt;</code></small>	nvim native native::recipes native::visual native::operators mode::normal
What does <b>V2j&lt;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Select three lines and unindent them once.<br><br><small>Exact notation: <code>V2j&lt;</code></small>	nvim native native::recipes native::visual native::operators mode::normal
What does <b>ddp</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Move the current line down by one line.<br><br><small>Exact notation: <code>ddp</code></small>	nvim native native::recipes native::operators mode::normal config::override
What does <b>ddkP</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Move the current line up by one line.<br><br><small>Exact notation: <code>ddkP</code></small>	nvim native native::recipes native::operators mode::normal config::override
What does <b>Esc</b> do in <b>Insert mode or Visual mode or Replace mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Cancel or return to Normal mode.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim native native::modes_help mode::insert mode::visual mode::replace mode::command-line
What does <b>Ctrl+[</b> do in <b>Insert mode or Visual mode or Replace mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Return to Normal mode; equivalent to Escape.<br><br><small>Exact notation: <code>&lt;C-[&gt;</code></small>	nvim native native::modes_help mode::insert mode::visual mode::replace
What does <b>i</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Enter Insert mode before the cursor.<br><br><small>Exact notation: <code>i</code></small>	nvim native native::modes_help mode::normal
What does <b>v</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Enter characterwise Visual mode.<br><br><small>Exact notation: <code>v</code></small>	nvim native native::modes_help mode::normal
What does <b>V</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Enter linewise Visual mode.<br><br><small>Exact notation: <code>V</code></small>	nvim native native::modes_help mode::normal
What does <b>Ctrl+V</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Enter blockwise Visual mode.<br><br><small>Exact notation: <code>&lt;C-v&gt;</code></small>	nvim native native::modes_help mode::normal
What does <b>R</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Enter Replace mode.<br><br><small>Exact notation: <code>R</code></small>	nvim native native::modes_help mode::normal
What does <b>:</b> do in <b>Normal mode or Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Open the Ex command line.<br><br><small>Exact notation: <code>:</code></small>	nvim native native::modes_help mode::normal context::ex
What does <b>:help {topic}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Open help for a command, option, key, or topic.<br><br><small>Exact notation: <code>:help {topic}</code></small>	nvim native native::modes_help context::ex context::help
What does <b>:help index</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Open the complete native command index.<br><br><small>Exact notation: <code>:help index</code></small>	nvim native native::modes_help context::ex context::help
What does <b>:help quickref</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Open Vim&#x27;s compact quick-reference sheet.<br><br><small>Exact notation: <code>:help quickref</code></small>	nvim native native::modes_help context::ex context::help
What does <b>:help user-manual</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Open the structured Vim user manual.<br><br><small>Exact notation: <code>:help user-manual</code></small>	nvim native native::modes_help context::ex context::help
What does <b>:helpgrep {pattern}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Search help files and populate quickfix.<br><br><small>Exact notation: <code>:helpgrep {pattern}</code></small>	nvim native native::modes_help context::ex context::help
What does <b>Ctrl+]</b> do in <b>a Help buffer</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Follow the help tag under the cursor.<br><br><small>Exact notation: <code>&lt;C-]&gt;</code></small>	nvim native native::modes_help context::help
What does <b>Ctrl+T</b> do in <b>a Help buffer</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Return through the tag stack.<br><br><small>Exact notation: <code>&lt;C-t&gt;</code></small>	nvim native native::modes_help context::help context::tags
What does <b>:version</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Show version, build features, and runtime information.<br><br><small>Exact notation: <code>:version</code></small>	nvim native native::modes_help context::ex
What does <b>:Tutor</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Start the interactive Vim/Neovim tutor.<br><br><small>Exact notation: <code>:Tutor</code></small>	nvim native native::modes_help context::ex
What does <b>:checkhealth</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	Run built-in and plugin health checks.<br><br><small>Exact notation: <code>:checkhealth</code></small>	nvim native native::modes_help context::ex context::neovim
What does <b>gs</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Modes/help</small>	CONFIG OVERRIDE: stock waits for count seconds; Flash owns gs.<br><br><small>Exact notation: <code>gs</code></small>	nvim native native::modes_help mode::normal config::override
What does <b>h / l</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move one character left / right.<br><br><small>Exact notation: <code>h / l</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>j / k</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move one screen line down / up.<br><br><small>Exact notation: <code>j / k</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>Left Arrow / Right Arrow / Up Arrow / Down Arrow</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Motions</small>	CONFIG OVERRIDE: disabled reminders; use h/l/k/j.<br><br><small>Exact notation: <code>&lt;Left&gt; / &lt;Right&gt; / &lt;Up&gt; / &lt;Down&gt;</code></small>	nvim native native::motions mode::normal config::override
What does <b>0</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to column one of the line.<br><br><small>Exact notation: <code>0</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>^</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the first nonblank character.<br><br><small>Exact notation: <code>^</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>$</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the end of the line.<br><br><small>Exact notation: <code>$</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>g_</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the last nonblank character.<br><br><small>Exact notation: <code>g_</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>w / b</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the next / previous word start.<br><br><small>Exact notation: <code>w / b</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>e / ge</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the next / previous word end.<br><br><small>Exact notation: <code>e / ge</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>W / B</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move by whitespace-delimited WORD starts.<br><br><small>Exact notation: <code>W / B</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>E / gE</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move by whitespace-delimited WORD ends.<br><br><small>Exact notation: <code>E / gE</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>f{char} / F{char}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Jump to the next / previous character on this line.<br><br><small>Exact notation: <code>f{char} / F{char}</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>t{char} / T{char}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Jump just before / after that character.<br><br><small>Exact notation: <code>t{char} / T{char}</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>; / ,</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Repeat the latest f/t motion forward / backward.<br><br><small>Exact notation: <code>; / ,</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>%</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Jump to the matching bracket or language item.<br><br><small>Exact notation: <code>%</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>{N}%</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Jump to N percent through the file.<br><br><small>Exact notation: <code>{N}%</code></small>	nvim native native::motions mode::normal
What does <b>gg / G</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Jump to the first / last line.<br><br><small>Exact notation: <code>gg / G</code></small>	nvim native native::motions mode::normal mode::operator-pending
